Fecha,PIB,Actividades_primarias,Agricultura
1993-01-01,1591205.285,74640.445,47997.342
1993-04-01,1645078.943,78053.798,49702.092
1993-07-01,1662209.955,78360.012,45941.332
1993-10-01,1708617.37,85700.596,54490.711
1994-01-01,1750226.236,75729.715,47968.587
1994-04-01,1864368.817,86786.028,56897.357
1994-07-01,1878101.782,74725.684,41039.168
1994-10-01,1981408.604,88917.227,55914.393
1995-01-01,2126220.471,80168.355,48767.145
1995-04-01,2356508.357,94345.747,56559.443
1995-07-01,2504153.023,102469.98,59700.289
1995-10-01,2774687.614,126224.56,76283.454
1996-01-01,3014208.731,129098.007,76264.739
1996-04-01,3185547.23,146958.57,89533.744
1996-07-01,3309766.859,148148.434,85918.432
1996-10-01,3627124.504,177446.11,106310.364
1997-01-01,3756065.136,163435.366,97159.099
1997-04-01,4058874.225,176518.699,106395.581
1997-07-01,4203179.298,163971.547,85870.821
1997-10-01,4561538.016,195551.877,112565.347
1998-01-01,4764071.123,186075.639,113001.787
1998-04-01,4997073.067,193407.627,117577.717
1998-07-01,5181379.017,196706.589,110466.156
1998-10-01,5429428.979,219874.218,130300.956
1999-01-01,5661869.187,230221.528,148511.816
1999-04-01,5934314.27,201491.175,121152.92
1999-07-01,6162128.337,193311.226,104703.03
1999-10-01,6381668.671,217504.247,123662.541
2000-01-01,6720563.462,215569.107,124261.87
2000-04-01,6958394.987,222999.91,130775.16
2000-07-01,7166931.104,199830.055,100323.399
2000-10-01,7220526.217,248293.415,140286.674
2001-01-01,7320286.31,219062.098,122946.237
2001-04-01,7459750.438,245774.738,144494.147
2001-07-01,7502163.55,224081.54,116652.438
2001-10-01,7466230.339,270614.384,158908.625
2002-01-01,7309444.307,227162.344,132007.945
2002-04-01,7941409.987,246137.474,146335.51
2002-07-01,7971586.016,227843.322,119101.217
2002-10-01,8088591.577,272743.211,160979.916
2003-01-01,8093632.004,250436.888,142618.132
2003-04-01,8253853.483,270555.203,161656.342
2003-07-01,8210313.374,244681.076,130432.018
2003-10-01,8480333.734,293977.165,173596.852
2004-01-01,8730792.149,293594.922,178084.138
2004-04-01,9281990.016,290648.077,175341.006
2004-07-01,9311925.012,260510.867,132937.341
2004-10-01,9668852.016,333841.317,197007.707
2005-01-01,9450080.65,281619.057,155865.717
2005-04-01,10060019.29,296945.379,167330.663
2005-07-01,10062099.172,282480.735,146194.479
2005-10-01,10426196.734,317176.486,177958.8
2006-01-01,10550621.144,305120.359,172863.648
2006-04-01,11227577.553,330479.537,198180.522
2006-07-01,11246326.337,284415.983,150960.507
2006-10-01,11455938.045,389024.206,242472.395
2007-01-01,11430812.047,344517.953,209177.87
2007-04-01,12021863.013,375430.699,239116.277
2007-07-01,12129428.141,324824.299,186923.45
2007-10-01,12604909.422,421011.244,275653.156
2008-01-01,12297911.305,356464.008,223890.528
2008-04-01,13254081.51,412907.44,272393.847
2008-07-01,13139867.071,331609.956,190476.018
2008-10-01,13019185.275,465221.52,309032.515
2009-01-01,12170951.053,375875.726,228468.565
2009-04-01,12466924.427,426224.614,281565.079
2009-07-01,12891111.352,340640.599,195231.072
2009-10-01,13467484.853,438454.856,290111.251
2010-01-01,13359849.389,378773.752,233348.629
