PERIODO,VALOR_USD
1993-01-01,1197000
1993-02-01,1297000
1993-03-01,1033000
1993-04-01,143000
1993-05-01,240000
1993-06-01,126000
1993-07-01,104000
1993-08-01,2167000
1993-09-01,3563000
1993-10-01,3250000
1993-11-01,3606000
1993-12-01,2409000
1994-01-01,2415000
1994-02-01,2704000
1994-03-01,1189000
1994-04-01,579000
1994-05-01,542000
1994-06-01,446000
1994-07-01,1227000
1994-08-01,5198000
1994-09-01,4545000
1994-10-01,5029000
1994-11-01,3260000
1994-12-01,2402000
1995-01-01,3430000
1995-02-01,2744000
1995-03-01,1238000
1995-04-01,807000
1995-05-01,642000
1995-06-01,881000
1995-07-01,1936000
1995-08-01,5043000
1995-09-01,6498000
1995-10-01,4434000
1995-11-01,4205000
1995-12-01,2607000
1996-01-01,3292000
1996-02-01,4065000
1996-03-01,2963000
1996-04-01,2050000
1996-05-01,1346000
1996-06-01,1234000
1996-07-01,1797000
1996-08-01,5129000
1996-09-01,8398000
1996-10-01,4767000
1996-11-01,5242000
1996-12-01,2492000
1997-01-01,3324000
1997-02-01,2564000
1997-03-01,2892000
1997-04-01,2286000
1997-05-01,1734000
1997-06-01,1532000
1997-07-01,3095000
1997-08-01,6970000
1997-09-01,5166000
1997-10-01,3989000
1997-11-01,5188000
1997-12-01,4230000
1998-01-01,6074000
1998-02-01,4994000
1998-03-01,3981000
1998-04-01,3690000
1998-05-01,2586000
1998-06-01,2486000
1998-07-01,2773000
1998-08-01,5246000
1998-09-01,3900000
1998-10-01,4993000
1998-11-01,7805000
1998-12-01,5423000
1999-01-01,5677000
1999-02-01,6050000
1999-03-01,3459000
1999-04-01,2070000
1999-05-01,2223000
1999-06-01,1614000
1999-07-01,1874000
1999-08-01,5464000
1999-09-01,7666000
1999-10-01,6096000
1999-11-01,9484000
1999-12-01,6955000
2000-01-01,8308000
2000-02-01,7951000
2000-03-01,5922000
2000-04-01,4288000
2000-05-01,4260000
2000-06-01,4360000
2000-07-01,3857000
2000-08-01,5024000
2000-09-01,6844000
2000-10-01,6263000
2000-11-01,10737000
2000-12-01,5875000
2001-01-01,7895000
2001-02-01,7789000
2001-03-01,6237000
2001-04-01,4221000
2001-05-01,3870000
2001-06-01,3768000
2001-07-01,5940000
2001-08-01,5624000
2001-09-01,6641000
2001-10-01,8028000
2001-11-01,10160000
2001-12-01,7859000
2002-01-01,10882000
2002-02-01,9625000
2002-03-01,11950000
