Year,Month ID,Month,Flow ID,Flow,Continent ID,Continent,País / Región ID,País / Región,HS6 ID,HS6,Trade Value
"2006","200601","2006-01","2","Exportaciones","as","Asia","hkg","Hong Kong","2080440","Aguacates Frescos o Secos","78230"
"2006","200601","2006-01","2","Exportaciones","as","Asia","jpn","Japón","2080440","Aguacates Frescos o Secos","2522562"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","bel","Bélgica","2080440","Aguacates Frescos o Secos","33776"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","deu","Alemania","2080440","Aguacates Frescos o Secos","303"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","esp","España","2080440","Aguacates Frescos o Secos","371100"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","fra","Francia","2080440","Aguacates Frescos o Secos","2485264"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","gbr","Reino Unido","2080440","Aguacates Frescos o Secos","648126"
"2006","200601","2006-01","2","Exportaciones","eu","Europa","nld","Países Bajos","2080440","Aguacates Frescos o Secos","573822"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","can","Canadá","2080440","Aguacates Frescos o Secos","1945317"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","cri","Costa Rica","2080440","Aguacates Frescos o Secos","700283"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","gtm","Guatemala","2080440","Aguacates Frescos o Secos","591448"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","hnd","Honduras","2080440","Aguacates Frescos o Secos","1033923"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","slv","El Salvador","2080440","Aguacates Frescos o Secos","1823492"
"2006","200601","2006-01","2","Exportaciones","na","América del Norte","usa","Estados Unidos","2080440","Aguacates Frescos o Secos","23044305"
"2006","200601","2006-01","2","Exportaciones","sa","América del Sur","chl","Chile","2080440","Aguacates Frescos o Secos","58074"
"2006","200602","2006-02","2","Exportaciones","as","Asia","hkg","Hong Kong","2080440","Aguacates Frescos o Secos","58576"
"2006","200602","2006-02","2","Exportaciones","as","Asia","jpn","Japón","2080440","Aguacates Frescos o Secos","2732614"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","bel","Bélgica","2080440","Aguacates Frescos o Secos","33719"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","deu","Alemania","2080440","Aguacates Frescos o Secos","153"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","esp","España","2080440","Aguacates Frescos o Secos","437219"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","fra","Francia","2080440","Aguacates Frescos o Secos","3039025"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","gbr","Reino Unido","2080440","Aguacates Frescos o Secos","1081970"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","nld","Países Bajos","2080440","Aguacates Frescos o Secos","744152"
"2006","200602","2006-02","2","Exportaciones","eu","Europa","ukr","Ucrania","2080440","Aguacates Frescos o Secos","97608"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","can","Canadá","2080440","Aguacates Frescos o Secos","1996749"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","cri","Costa Rica","2080440","Aguacates Frescos o Secos","805457"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","gtm","Guatemala","2080440","Aguacates Frescos o Secos","519026"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","hnd","Honduras","2080440","Aguacates Frescos o Secos","721701"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","slv","El Salvador","2080440","Aguacates Frescos o Secos","1459024"
"2006","200602","2006-02","2","Exportaciones","na","América del Norte","usa","Estados Unidos","2080440","Aguacates Frescos o Secos","17394280"
"2006","200603","2006-03","2","Exportaciones","as","Asia","hkg","Hong Kong","2080440","Aguacates Frescos o Secos","86508"
"2006","200603","2006-03","2","Exportaciones","as","Asia","jpn","Japón","2080440","Aguacates Frescos o Secos","3292885"
"2006","200603","2006-03","2","Exportaciones","eu","Europa","deu","Alemania","2080440","Aguacates Frescos o Secos","33719"
"2006","200603","2006-03","2","Exportaciones","eu","Europa","esp","España","2080440","Aguacates Frescos o Secos","240128"
"2006","200603","2006-03","2","Exportaciones","eu","Europa","fra","Francia","2080440","Aguacates Frescos o Secos","2014296"
"2006","200603","2006-03","2","Exportaciones","eu","Europa","gbr","Reino Unido","2080440","Aguacates Frescos o Secos","660376"
"2006","200603","2006-03","2","Exportaciones","eu","Europa","nld","Países Bajos","2080440","Aguacates Frescos o Secos","169889"
