AÑO,CVE_ENT,ENTIDAD,CVE_MUN,MUNICIPIO,CVE_DDR,DISTRITO,CVE_CADER,CADER,CVE_CICLO,CICLE,CVE_MODALIDAD,MODALIDAD,CVE_UNIDAD,UNIDAD_MEDIDA,CVE_CULTIVO,CULTIVO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO,VALOR_PRODUCCION
1980,3,Baja California Sur,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,378.0,300.0,0.0,833.0,2.78,18.79,15652.0
1980,4,Campeche,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,264.0,264.0,0.0,2112.0,8.0,4.8,10138.0
1980,6,Colima,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,866.0,239.0,0.0,792.0,3.31,8.25,6532.0
1980,7,Chiapas,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,3925.0,3925.0,0.0,36606.0,9.33,7.2,263563.0
1980,10,Durango,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,175.0,175.0,0.0,455.0,2.6,8.0,3640.0
1980,11,Guanajuato,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,1580.0,1580.0,0.0,10320.0,6.53,12.0,123840.0
1980,12,Guerrero,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,209.0,171.0,0.0,2114.0,12.36,6.7,14164.0
1980,12,Guerrero,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,854.0,783.0,0.0,6265.0,8.0,6.7,41976.0
1980,13,Hidalgo,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,541.0,497.0,0.0,3330.0,6.7,14.0,46620.0
1980,13,Hidalgo,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,57.0,57.0,0.0,245.0,4.3,14.0,3430.0
1980,14,Jalisco,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,2490.0,2210.0,0.0,22100.0,10.0,20.0,442000.0
1980,14,Jalisco,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,760.0,675.0,0.0,6277.0,9.3,20.0,125540.0
1980,15,Estado de México,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,2644.0,2644.0,0.0,37016.0,14.0,18.0,666288.0
1980,15,Estado de México,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,326.0,326.0,0.0,2934.0,9.0,18.0,52812.0
1980,16,Michoacán,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,29504.0,19777.0,0.0,135421.0,6.85,11.0,1489631.0
1980,16,Michoacán,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,1475.0,1464.0,0.0,5800.0,3.96,11.0,63800.0
1980,17,Morelos,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,230.0,225.0,0.0,1857.0,8.25,12.0,22284.0
1980,17,Morelos,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,1040.0,1026.0,0.0,6722.0,6.55,10.0,67220.0
